scenario_id,title,year_guess,relative_path,size_bytes,companion_ini_found,campaign_series,notes
1,"119 Squadron Makes a Little Noise, 2021",2021,"119 Squadron Makes a Little Noise, 2021.scen",463142,True,Standalone Scenario,
2,"2nd Fleet, Sink The Boomers (Scenario 2), 1986",1986,"2nd Fleet, Sink The Boomers (Scenario 2), 1986.scen",97259,True,2nd Fleet Series,
3,"688 Attack Sub 4, Mumar Cadaver, 1989",1989,"688 Attack Sub 4, Mumar Cadaver, 1989.scen",142052,True,688 Attack Sub Series,
4,"688 Attack Sub 8, Surprise Party, 1989",1989,"688 Attack Sub 8, Surprise Party, 1989.scen",110253,True,688 Attack Sub Series,
5,"A Day at Red Flag, 1977",1977,"A Day at Red Flag, 1977.scen",62850,True,Standalone Scenario,
6,"A Matter of Sovereignty, 2022",2022,"A Matter of Sovereignty, 2022.scen",905087,True,Standalone Scenario,
7,"A New World, 2005",2005,"A New World, 2005.scen",609875,True,Standalone Scenario,
8,"ASW EX1971 Spanish Coast, 1971",1971,"ASW EX1971 Spanish Coast, 1971.scen",59303,True,Standalone Scenario,
9,"ASW Exercise, 2006",2006,"ASW Exercise, 2006.scen",195733,True,Standalone Scenario,
10,"Action in the Bay of Vlore, 1969",1969,"Action in the Bay of Vlore, 1969.scen",100012,True,Standalone Scenario,
11,"Aden, North Yemen Civil War, The Egypian Vietnam, 1965",1965,"Aden, North Yemen Civil War, The Egypian Vietnam, 1965.scen",1044929,True,Standalone Scenario,
12,"Aegean Hunting Party, 1968",1968,"Aegean Hunting Party, 1968.scen",138552,True,Standalone Scenario,
13,"Air Battle - July 28, 2020",2020,"Air Battle - July 28, 2020.scen",1374333,True,Standalone Scenario,
14,"Air Battle - The Litani River, 2017",2017,"Air Battle - The Litani River, 2017.scen",972708,True,Standalone Scenario,
15,"Air Battle over Berat-Kuçovë, 2021",2021,"Air Battle over Berat-Kuçovë, 2021.scen",121466,True,Standalone Scenario,
16,"Air Battle over Metema, 2019",2019,"Air Battle over Metema, 2019.scen",129807,True,Standalone Scenario,
17,"Air Incident over Mageroya, 2020",2020,"Air Incident over Mageroya, 2020.scen",170506,True,Standalone Scenario,
18,"Airstrikes on Zinder, 2025",2025,"Airstrikes on Zinder, 2025.scen",206265,True,Standalone Scenario,
19,"Albania Airstrike, 1984",1984,"Albania Airstrike, 1984.scen",107910,True,Standalone Scenario,
20,"Albania Strikes Again, 1984 (No Aircraft Damage)",1984,"Albania Strikes Again, 1984 (No Aircraft Damage).scen",105186,True,Standalone Scenario,
21,"Albania Strikes Again, 1984",1984,"Albania Strikes Again, 1984.scen",105271,True,Standalone Scenario,
22,"Alfa Wolfpack, 1987",1987,"Alfa Wolfpack, 1987.scen",93305,True,Standalone Scenario,
23,"Ambalat, 2025",2025,"Ambalat, 2025.scen",289506,True,Standalone Scenario,
24,"Ancient Armies, Modern Weapons, 2014",2014,"Ancient Armies, Modern Weapons, 2014.scen",81635,True,Standalone Scenario,
25,"Andaman Sea Clash, 2005",2005,"Andaman Sea Clash, 2005.scen",195167,True,Standalone Scenario,
26,"Andaman and Nicobar Islands, 2024",2024,"Andaman and Nicobar Islands, 2024.scen",1035345,True,Standalone Scenario,
27,"Andromeda at the Ready, 1984",1984,"Andromeda at the Ready, 1984.scen",86688,True,Standalone Scenario,
28,"Angamos Goes the Distance, 1980",1980,"Angamos Goes the Distance, 1980.scen",105616,True,Standalone Scenario,
29,"Annaba Constant, 1960",1960,"Annaba Constant, 1960.scen",58658,True,Standalone Scenario,
30,"April Storm 1 - The New Eastern Front, 1996",1996,"April Storm 1 - The New Eastern Front, 1996.scen",732058,True,April Storm Series,
31,"Arctic Tsunami, 2019",2019,"Arctic Tsunami, 2019.scen",2053638,True,Standalone Scenario,
32,"Assalto in Pakistan, 2018",2018,"Assalto in Pakistan, 2018.scen",50401,True,Standalone Scenario,
33,"Assault on Al Tanf, 2024",2024,"Assault on Al Tanf, 2024.scen",177621,True,Standalone Scenario,
34,"Assault on Banak, 1985",1985,"Assault on Banak, 1985.scen",42938,True,Standalone Scenario,
35,"Atlantic Convoy Duty, 1985",1985,"Atlantic Convoy Duty, 1985.scen",522939,True,Standalone Scenario,
36,"Attack Sub Duel off Hokkaido, 2003",2003,"Attack Sub Duel off Hokkaido, 2003.scen",68980,True,Standalone Scenario,
37,"Attack on H-3, 1981",1981,"Attack on H-3, 1981.scen",1132657,True,Standalone Scenario,
38,"BALTAP - Break through The Sound, 1963",1963,"BALTAP - Break through The Sound, 1963.scen",302646,True,BALTAP Campaign,
39,"BALTAP - Close down Mukran, 1987",1987,"BALTAP - Close down Mukran, 1987.scen",227752,True,BALTAP Campaign,
40,"BALTAP - Hunting in Skagerrak, 1983",1983,"BALTAP - Hunting in Skagerrak, 1983.scen",128447,True,BALTAP Campaign,
41,"BALTAP - Minesweeping Kiel Bight, 1983",1983,"BALTAP - Minesweeping Kiel Bight, 1983.scen",490230,True,BALTAP Campaign,
42,"BALTAP - Mining Fehmarn Belt, 1983",1983,"BALTAP - Mining Fehmarn Belt, 1983.scen",192048,True,BALTAP Campaign,
43,"BALTAP - Repräsentative Schnellbootlage - 10 Years Later, 1980",1980,"BALTAP - Repräsentative Schnellbootlage - 10 Years Later, 1980.scen",128222,True,BALTAP Campaign,
44,"BALTAP - Repräsentative Schnellbootlage, 1970",1970,"BALTAP - Repräsentative Schnellbootlage, 1970.scen",109906,True,BALTAP Campaign,
45,"Bab al-Mandab Strait, Yemen, 2024",2024,"Bab al-Mandab Strait, Yemen, 2024.scen",137145,True,Standalone Scenario,
46,"Baltic Ballet, 2019",2019,"Baltic Ballet, 2019.scen",425393,True,Standalone Scenario,
47,"Baltic On Fire, 1988",1988,"Baltic On Fire, 1988.scen",1533700,True,Standalone Scenario,
48,"Baltimore on the Prowl, 1952",1952,"Baltimore on the Prowl, 1952.scen",59443,True,Standalone Scenario,
49,"Battle Ocean 64 - Baltic Convoy, 1964",1964,"Battle Ocean 64 - Baltic Convoy, 1964.scen",141122,True,Battle Ocean 64 Series,
50,"Battle Ocean 64 - North Sea ASW, 1964",1964,"Battle Ocean 64 - North Sea ASW, 1964.scen",163881,True,Battle Ocean 64 Series,
51,"Battle Ocean 64 - Teesport Convoy, 1964",1964,"Battle Ocean 64 - Teesport Convoy, 1964.scen",109250,True,Battle Ocean 64 Series,
52,"Battle of Kodel Channel (The War That Never Was) Warsaw Pact, 1989",1989,"Battle of Kodel Channel (The War That Never Was) Warsaw Pact, 1989.scen",913994,True,The War That Never Was Series,
53,"Battle of Strait of Tiran, 1978",1978,"Battle of Strait of Tiran, 1978.scen",148592,True,Standalone Scenario,
54,"Battle of Yavin, 1980",1980,"Battle of Yavin, 1980.scen",115484,True,Standalone Scenario,
55,"Battle of the First Salvo, Eastern Med (The War That Never Was), 1989",1989,"Battle of the First Salvo, Eastern Med (The War That Never Was), 1989.scen",765530,True,The War That Never Was Series,
56,"Battles of the 3rd WW, Tattletale, 1991",1991,"Battles of the 3rd WW, Tattletale, 1991.scen",75806,True,Standalone Scenario,
57,"Bay of Bengal, 1999",1999,"Bay of Bengal, 1999.scen",319431,True,Standalone Scenario,
58,"Bear Island, 2022",2022,"Bear Island, 2022.scen",1975087,True,Standalone Scenario,
59,"Bennys Sweep, 1958",1958,"Bennys Sweep, 1958.scen",305322,True,Standalone Scenario,
60,"Best of the West, Worst of the East, 1982",1982,"Best of the West, Worst of the East, 1982.scen",55583,True,Standalone Scenario,
61,"Better Bullets AMRAAM, 1987",1987,"Better Bullets AMRAAM, 1987.scen",98364,True,Standalone Scenario,
62,"Better Bullets SARH, 1987",1987,"Better Bullets SARH, 1987.scen",92785,True,Standalone Scenario,
63,"Between Ascension and San Carlos - The Carrier Duel, 1982",1982,"Between Ascension and San Carlos - The Carrier Duel, 1982.scen",127304,True,Standalone Scenario,
64,"Between Ascension and San Carlos, 1982",1982,"Between Ascension and San Carlos, 1982.scen",60503,True,Standalone Scenario,
65,"Beyond Kashmir, 2019",2019,"Beyond Kashmir, 2019.scen",1421656,True,Standalone Scenario,
66,"Biddle Goes to Algeria, 1984",1984,"Biddle Goes to Algeria, 1984.scen",212936,True,Standalone Scenario,
67,"Biddles Quandary, 1982",1982,"Biddles Quandary, 1982.scen",622032,True,Standalone Scenario,
68,"Biddles Team, 1981",1981,"Biddles Team, 1981.scen",555768,True,Standalone Scenario,
69,"Big Fish in the Baltic, 1971",1971,"Big Fish in the Baltic, 1971.scen",490348,True,Standalone Scenario,
70,"Birmingham Strikes, 1992",1992,"Birmingham Strikes, 1992.scen",129001,True,Standalone Scenario,
71,"Black Gold, 1985",1985,"Black Gold, 1985.scen",115465,True,Standalone Scenario,
72,"Black Moon Sailing, 2014",2014,"Black Moon Sailing, 2014.scen",221457,True,Standalone Scenario,
73,"Black Sea, 2019",2019,"Black Sea, 2019.scen",470493,True,Standalone Scenario,
74,"Black Tiger I, 2015",2015,"Black Tiger I, 2015.scen",1074872,True,Black Tiger Series,
75,"Black Tiger II, 2015",2015,"Black Tiger II, 2015.scen",1668402,True,Black Tiger Series,
76,"Black Tiger III, 2015",2015,"Black Tiger III, 2015.scen",1588449,True,Black Tiger Series,
77,"Black Tiger IV, 2015",2015,"Black Tiger IV, 2015.scen",1521950,True,Black Tiger Series,
78,"Black Tiger V, 2015",2015,"Black Tiger V, 2015.scen",1290351,True,Black Tiger Series,
79,"Blood Diamonds, 2018",2018,"Blood Diamonds, 2018.scen",877224,True,Standalone Scenario,
80,"Bosphorus Blues (The War That Never Was) Warsaw Pact, 1989",1989,"Bosphorus Blues (The War That Never Was) Warsaw Pact, 1989.scen",1769353,True,The War That Never Was Series,
81,"Bostons Battle, 1963",1963,"Bostons Battle, 1963.scen",119374,True,Standalone Scenario,
82,"Bostons Brawl, 1963",1963,"Bostons Brawl, 1963.scen",77706,True,Standalone Scenario,
83,"Brazil Abroad, 2015",2015,"Brazil Abroad, 2015.scen",86835,True,Standalone Scenario,
84,"Breaking Bad, 2015",2015,"Breaking Bad, 2015.scen",209709,True,Standalone Scenario,
85,"Buenos Aires Express, 1982",1982,"Buenos Aires Express, 1982.scen",85048,True,Standalone Scenario,
86,"Building a Cage, 2005",2005,"Building a Cage, 2005.scen",758088,True,Standalone Scenario,
87,"Busy Day in Burundi, 1976",1976,"Busy Day in Burundi, 1976.scen",183241,True,Standalone Scenario,
88,"COMAO Training - Transport Day, 2014",2014,"COMAO Training - Transport Day, 2014.scen",149685,True,Standalone Scenario,
89,"CSG-21 in the Eastern Mediterranean, 2021",2021,"CSG-21 in the Eastern Mediterranean, 2021.scen",1155314,True,Standalone Scenario,
90,"CWC 1 Eve of Destruction, 1995",1995,"CWC 1 Eve of Destruction, 1995.scen",3004235,True,CWC Series,
91,"Cable-tap, 2015",2015,"Cable-tap, 2015.scen",69635,True,Standalone Scenario,
92,"Cape Road, 2023",2023,"Cape Road, 2023.scen",126797,True,Standalone Scenario,
93,"Caravan, 1982",1982,"Caravan, 1982.scen",98688,True,Standalone Scenario,
94,"Caribbean Clinch, 1956",1956,"Caribbean Clinch, 1956.scen",137522,True,Standalone Scenario,
95,"Caribbean Crisis - The Prelude, 2012",2012,"Caribbean Crisis - The Prelude, 2012.scen",893189,True,Standalone Scenario,
96,"Caribbean Crisis - The Showdown, 2012",2012,"Caribbean Crisis - The Showdown, 2012.scen",790845,True,Standalone Scenario,
97,"Caribbean Task Force Ruby, 1963",1963,"Caribbean Task Force Ruby, 1963.scen",121220,True,Standalone Scenario,
98,"Carribean March 21st, 2022",2022,"Carribean March 21st, 2022.scen",609815,True,Standalone Scenario,
99,"Carrier Battle Group ASW Test, 1984",1984,"Carrier Battle Group ASW Test, 1984.scen",353458,True,Standalone Scenario,
100,"Carrier Hunt, 2024",2024,"Carrier Hunt, 2024.scen",619447,True,Standalone Scenario,
101,"Casamance 1 - Arrival, 1986",1986,"Casamance 1 - Arrival, 1986.scen",251025,True,Standalone Scenario,
102,"Casamance 2 - Reconnaissance, 1986",1986,"Casamance 2 - Reconnaissance, 1986.scen",253414,True,Standalone Scenario,
103,"Caspian Darts, 2018",2018,"Caspian Darts, 2018.scen",510208,True,Standalone Scenario,
104,"Chafarinas, 2029",2029,"Chafarinas, 2029.scen",1099971,True,Standalone Scenario,
105,"Changjiang Strike, 2016",2016,"Changjiang Strike, 2016.scen",462341,True,Standalone Scenario,
106,"Charlie Deuce Takes the Lead, 1970",1970,"Charlie Deuce Takes the Lead, 1970.scen",119356,True,Standalone Scenario,
107,"Chilean Chevauchee, 1947",1947,"Chilean Chevauchee, 1947.scen",26470,True,Standalone Scenario,
108,"Chillied Sea Slugs, 1988",1988,"Chillied Sea Slugs, 1988.scen",130443,True,Standalone Scenario,
109,"Closing the Kurile Gap US (The War That Never Was), 1989",1989,"Closing the Kurile Gap US (The War That Never Was), 1989.scen",2046198,True,The War That Never Was Series,
110,"Closing the Kurile Gap USSR (The War That Never Was), 1989",1989,"Closing the Kurile Gap USSR (The War That Never Was), 1989.scen",2420559,True,The War That Never Was Series,
111,"Cocos Islands Indian v Australia, 1978",1978,"Cocos Islands Indian v Australia, 1978.scen",227793,True,Standalone Scenario,
112,"Coilers Halloween Iceland Adventure, 2018",2018,"Coilers Halloween Iceland Adventure, 2018.scen",130888,True,Standalone Scenario,
113,"Comte de Grasse Squadron, 1988",1988,"Comte de Grasse Squadron, 1988.scen",339422,True,Standalone Scenario,
114,"Confrontation near Tartus, 2017",2017,"Confrontation near Tartus, 2017.scen",444008,True,Standalone Scenario,
115,"Connie and Qatif, 1980",1980,"Connie and Qatif, 1980.scen",541487,True,Standalone Scenario,
116,"Container Wars, 2019",2019,"Container Wars, 2019.scen",446890,True,Standalone Scenario,
117,"Contingency, 2016",2016,"Contingency, 2016.scen",465693,True,Standalone Scenario,
118,"Convoy 88, 1988",1988,"Convoy 88, 1988.scen",173618,True,Standalone Scenario,
119,"Coral Magpie, 2018",2018,"Coral Magpie, 2018.scen",58372,True,Standalone Scenario,
120,"Corvette Group off Bressay, 2022",2022,"Corvette Group off Bressay, 2022.scen",99406,True,Standalone Scenario,
121,"Crimea River, 2016",2016,"Crimea River, 2016.scen",2585492,True,Standalone Scenario,
122,"Crimean War Episodes - Operation Tiger Rifle, 2014",2014,"Crimean War Episodes - Operation Tiger Rifle, 2014.scen",514105,True,Standalone Scenario,
123,"Crossing the Line of Death (The War That Never Was) NATO, 1989",1989,"Crossing the Line of Death (The War That Never Was) NATO, 1989.scen",792633,True,The War That Never Was Series,
124,"Curacao Crisis French Intervention, 2021",2021,"Curacao Crisis French Intervention, 2021.scen",1243125,True,Standalone Scenario,
125,Curacao Crisis US-UK Intervention 2021,,Curacao Crisis US-UK Intervention 2021.scen,1487616,True,Standalone Scenario,
126,"Cypriot Missile Crisis, 1999",1999,"Cypriot Missile Crisis, 1999.scen",224180,True,Standalone Scenario,
127,"DACEX-14, 2014",2014,"DACEX-14, 2014.scen",250318,True,Standalone Scenario,
128,"DCA Mini-EX, 2012",2012,"DCA Mini-EX, 2012.scen",171727,True,Standalone Scenario,
129,"Danger in the Aegean, 1946",1946,"Danger in the Aegean, 1946.scen",254537,True,Standalone Scenario,
130,"Danjo Wall, 1991",1991,"Danjo Wall, 1991.scen",117671,True,Standalone Scenario,
131,"Death from EABOve, 2027",2027,"Death from EABOve, 2027.scen",2553660,True,Standalone Scenario,
132,"Death of the Belgrano, 1982",1982,"Death of the Belgrano, 1982.scen",62550,True,Standalone Scenario,
133,"Debt of Honor, 1996",1996,"Debt of Honor, 1996.scen",567515,True,Standalone Scenario,
134,"Defending Northern Turkey, 1968",1968,"Defending Northern Turkey, 1968.scen",1339126,True,Standalone Scenario,
135,"Desperate Measures, 2016",2016,"Desperate Measures, 2016.scen",64395,True,Standalone Scenario,
136,"Deter, Detect, Defend, 1962 CF-105 Variant",1962,"Deter, Detect, Defend, 1962 CF-105 Variant.scen",576419,True,Standalone Scenario,
137,"Deter, Detect, Defend, 1962",1962,"Deter, Detect, Defend, 1962.scen",580990,True,Standalone Scenario,
138,"Disproportional Response, 2017",2017,"Disproportional Response, 2017.scen",768957,True,Standalone Scenario,
139,"Duke of York Never Gives Up, 1950",1950,"Duke of York Never Gives Up, 1950.scen",90181,True,Standalone Scenario,
140,"Dutch Convoy in the North Atlantic, 1963",1963,"Dutch Convoy in the North Atlantic, 1963.scen",139157,True,Standalone Scenario,
141,"Dutch-Venezuelan Fishing Incident, 2025",2025,"Dutch-Venezuelan Fishing Incident, 2025.scen",83558,True,Standalone Scenario,
142,"En Garde, 2013",2013,"En Garde, 2013.scen",199615,True,Standalone Scenario,
143,"Enough is Enough, 2018",2018,"Enough is Enough, 2018.scen",590006,True,Standalone Scenario,
144,"Escape from Port Harcourt, Nigeria 2022",,"Escape from Port Harcourt, Nigeria 2022.scen",94571,True,Standalone Scenario,
145,"Etendards in Her Majestys Face, 1982",1982,"Etendards in Her Majestys Face, 1982.scen",56169,True,Standalone Scenario,
146,"Ex Pitch Black, 2017",2017,"Ex Pitch Black, 2017.scen",858372,True,Standalone Scenario,
147,"Excellent Loon, 1976",1976,"Excellent Loon, 1976.scen",75046,True,Standalone Scenario,
148,"Facing The Bear (The War That Never Was) USSR, 1989",1989,"Facing The Bear (The War That Never Was) USSR, 1989.scen",2297046,True,The War That Never Was Series,
149,"Falkland War, 1982",1982,"Falkland War, 1982.scen",385697,True,Standalone Scenario,
150,"Fall of Seoul, 1950",1950,"Fall of Seoul, 1950.scen",785210,True,Standalone Scenario,
151,"Fiery Cross Reef, 2021",2021,"Fiery Cross Reef, 2021.scen",1131226,True,Standalone Scenario,
152,"Final Count Down, 1941",1941,"Final Count Down, 1941.scen",871254,True,Standalone Scenario,
153,"First Battle of Donetsk Airport, 2014",2014,"First Battle of Donetsk Airport, 2014.scen",89192,True,Standalone Scenario,
154,"For The Honour Of The Republic, 1991",1991,"For The Honour Of The Republic, 1991.scen",241641,True,Standalone Scenario,
155,"Forging On, 1986",1986,"Forging On, 1986.scen",141517,True,Standalone Scenario,
156,"Four Ounces Can Move One Thousand Pounds, 2016",2016,"Four Ounces Can Move One Thousand Pounds, 2016.scen",274891,True,Standalone Scenario,
157,"Four Ships near Demon Point, 1988",1988,"Four Ships near Demon Point, 1988.scen",69706,True,Standalone Scenario,
158,"France Goes to Conakry, 1984",1984,"France Goes to Conakry, 1984.scen",101279,True,Standalone Scenario,
159,"French Forces in the Gulf of Sidra, 1981",1981,"French Forces in the Gulf of Sidra, 1981.scen",114675,True,Standalone Scenario,
160,"Frigate Duel in the Scotia Sea, 2023",2023,"Frigate Duel in the Scotia Sea, 2023.scen",69948,True,Standalone Scenario,
161,"Frisian Flag, 2012",2012,"Frisian Flag, 2012.scen",215584,True,Standalone Scenario,
162,"Frozen War, 2014",2014,"Frozen War, 2014.scen",79310,True,Standalone Scenario,
163,"Fulda Gap, 1989",1989,"Fulda Gap, 1989.scen",1354299,True,Standalone Scenario,
164,"Galveston Gets a Mission, 1960",1960,"Galveston Gets a Mission, 1960.scen",135428,True,Standalone Scenario,
165,"Give Them Hell, 2008",2008,"Give Them Hell, 2008.scen",857388,True,Standalone Scenario,
166,"Giving Some Hell to Harry, 2022",2022,"Giving Some Hell to Harry, 2022.scen",553014,True,Standalone Scenario,
167,"Good Morning Malvinas, 1982",1982,"Good Morning Malvinas, 1982.scen",323810,True,Standalone Scenario,
168,"Goodnight Irene, 2016",2016,"Goodnight Irene, 2016.scen",1779123,True,Standalone Scenario,
169,"Great Asian War - Southwestern Front, 2018",2018,"Great Asian War - Southwestern Front, 2018.scen",150940,True,Standalone Scenario,
170,"Great Pacific War - Break out (Without Subs), 2020",2020,"Great Pacific War - Break out (Without Subs), 2020.scen",587482,True,Standalone Scenario,
171,"Great Pacific War - Break out, 2020",2020,"Great Pacific War - Break out, 2020.scen",600075,True,Standalone Scenario,
172,"Greek-Turkish EEZ Conflict - Greek Human, 2021",2021,"Greek-Turkish EEZ Conflict - Greek Human, 2021.scen",1665653,True,Standalone Scenario,
173,"Greek-Turkish EEZ Conflict - Turkish Human, 2021",2021,"Greek-Turkish EEZ Conflict - Turkish Human, 2021.scen",1624410,True,Standalone Scenario,
174,"Growler Vs. Growler, 2014",2014,"Growler Vs. Growler, 2014.scen",21494,True,Standalone Scenario,
175,"Gulf of Mannar Confrontation, 1962",1962,"Gulf of Mannar Confrontation, 1962.scen",114261,True,Standalone Scenario,
176,"Gulf of Sidra Incident, 1981",1981,"Gulf of Sidra Incident, 1981.scen",285326,True,Standalone Scenario,
177,"Gulf of Tonkin incident, 1964",1964,"Gulf of Tonkin incident, 1964.scen",47841,True,Standalone Scenario,
178,"Halloween Horror, 1991",1991,"Halloween Horror, 1991.scen",1054789,True,Standalone Scenario,
179,"Hammana Lebanon Airstrike, 1983",1983,"Hammana Lebanon Airstrike, 1983.scen",105050,True,Standalone Scenario,
180,"Hanukkah War, 2018",2018,"Hanukkah War, 2018.scen",4597479,True,Standalone Scenario,
181,"Harpoon, 1980",1980,"Harpoon, 1980.scen",56541,True,Standalone Scenario,
182,"Hat Yai Air Raid, 2019",2019,"Hat Yai Air Raid, 2019.scen",113262,True,Standalone Scenario,
183,"Havana Daydreamin, 2017",2017,"Havana Daydreamin, 2017.scen",1238549,True,Standalone Scenario,
184,"Hell of the East, 2019",2019,"Hell of the East, 2019.scen",2800586,True,Standalone Scenario,
185,"Helping Brothers, 1990",1990,"Helping Brothers, 1990.scen",218570,True,Standalone Scenario,
186,"Here, There and Everywhere, 1965",1965,"Here, There and Everywhere, 1965.scen",329555,True,Standalone Scenario,
187,"Homerun, 1956",1956,"Homerun, 1956.scen",141907,True,Standalone Scenario,
188,"Hormuz, 2020",2020,"Hormuz, 2020.scen",1723170,True,Standalone Scenario,
189,"Human Limitation, 1978",1978,"Human Limitation, 1978.scen",43026,True,Standalone Scenario,
190,"Hungarian-Serbian Border Incident, 2017",2017,"Hungarian-Serbian Border Incident, 2017.scen",108284,True,Standalone Scenario,
